"filename", "language", "C++", "Markdown", "Batch", "comment", "blank", "total"
"d:\vscode_demo\比赛\Atcoder\440\a.cpp", "C++", 22, 0, 0, 2, 4, 28
"d:\vscode_demo\比赛\Atcoder\440\b.cpp", "C++", 28, 0, 0, 1, 4, 33
"d:\vscode_demo\比赛\Atcoder\440\c.cpp", "C++", 37, 0, 0, 3, 9, 49
"d:\vscode_demo\比赛\Atcoder\440\d.cpp", "C++", 50, 0, 0, 4, 6, 60
"d:\vscode_demo\比赛\Atcoder\441\a.cpp", "C++", 27, 0, 0, 1, 4, 32
"d:\vscode_demo\比赛\Atcoder\441\b.cpp", "C++", 49, 0, 0, 1, 5, 55
"d:\vscode_demo\比赛\Atcoder\441\c.cpp", "C++", 32, 0, 0, 1, 6, 39
"d:\vscode_demo\比赛\Atcoder\441\d.cpp", "C++", 47, 0, 0, 2, 6, 55
"d:\vscode_demo\比赛\Atcoder\441\e.cpp", "C++", 33, 0, 0, 2, 7, 42
"d:\vscode_demo\比赛\codeforces\div 2\1070\a.cpp", "C++", 37, 0, 0, 0, 3, 40
"d:\vscode_demo\比赛\codeforces\div 2\1070\b.cpp", "C++", 46, 0, 0, 1, 3, 50
"d:\vscode_demo\比赛\codeforces\div 2\1070\c.cpp", "C++", 72, 0, 0, 1, 3, 76
"d:\vscode_demo\比赛\codeforces\div 2\186\a.cpp", "C++", 34, 0, 0, 0, 4, 38
"d:\vscode_demo\比赛\codeforces\div 2\186\b.cpp", "C++", 43, 0, 0, 2, 4, 49
"d:\vscode_demo\比赛\codeforces\div 2\186\c.cpp", "C++", 38, 0, 0, 0, 7, 45
"d:\vscode_demo\比赛\codeforces\div 2\186\d.cpp", "C++", 63, 0, 0, 2, 8, 73
"d:\vscode_demo\比赛\codeforces\div 3\1071\a.cpp", "C++", 56, 0, 0, 0, 3, 59
"d:\vscode_demo\比赛\codeforces\div 3\1071\b.cpp", "C++", 51, 0, 0, 2, 3, 56
"d:\vscode_demo\比赛\codeforces\div 3\1071\c.cpp", "C++", 32, 0, 0, 0, 3, 35
"d:\vscode_demo\比赛\codeforces\div 3\1071\d.cpp", "C++", 35, 0, 0, 0, 2, 37
"d:\vscode_demo\比赛\codeforces\div 3\1071\e.cpp", "C++", 58, 0, 0, 3, 3, 64
"d:\vscode_demo\比赛\codeforces\div 3\1072\a.cpp", "C++", 30, 0, 0, 0, 4, 34
"d:\vscode_demo\比赛\codeforces\div 3\1072\b.cpp", "C++", 31, 0, 0, 0, 4, 35
"d:\vscode_demo\比赛\codeforces\div 3\1072\c.cpp", "C++", 41, 0, 0, 0, 4, 45
"d:\vscode_demo\比赛\codeforces\div 3\1072\d.cpp", "C++", 19, 0, 0, 0, 5, 24
"d:\vscode_demo\比赛\codeforces\div4\a.cpp", "C++", 23, 0, 0, 0, 4, 27
"d:\vscode_demo\比赛\codeforces\div4\b.cpp", "C++", 25, 0, 0, 0, 5, 30
"d:\vscode_demo\比赛\codeforces\div4\c.cpp", "C++", 35, 0, 0, 2, 7, 44
"d:\vscode_demo\比赛\codeforces\div4\d.cpp", "C++", 29, 0, 0, 0, 6, 35
"d:\vscode_demo\比赛\codeforces\div4\e.cpp", "C++", 22, 0, 0, 0, 5, 27
"d:\vscode_demo\比赛\codeforces\goodbye\a.cpp", "C++", 30, 0, 0, 0, 4, 34
"d:\vscode_demo\比赛\codeforces\goodbye\b.cpp", "C++", 50, 0, 0, 0, 4, 54
"d:\vscode_demo\比赛\codeforces\goodbye\c.cpp", "C++", 37, 0, 0, 0, 5, 42
"d:\vscode_demo\比赛\pta\a.cpp", "C++", 20, 0, 0, 1, 4, 25
"d:\vscode_demo\比赛\pta\b.cpp", "C++", 33, 0, 0, 1, 4, 38
"d:\vscode_demo\比赛\pta\c.cpp", "C++", 28, 0, 0, 1, 5, 34
"d:\vscode_demo\比赛\pta\d.cpp", "C++", 34, 0, 0, 1, 6, 41
"d:\vscode_demo\比赛\pta\e.cpp", "C++", 45, 0, 0, 2, 4, 51
"d:\vscode_demo\比赛\pta\f.cpp", "C++", 33, 0, 0, 4, 6, 43
"d:\vscode_demo\比赛\pta\g.cpp", "C++", 40, 0, 0, 1, 5, 46
"d:\vscode_demo\比赛\pta\h.cpp", "C++", 19, 0, 0, 1, 5, 25
"d:\vscode_demo\比赛\校赛\2025新生周赛2\a.cpp", "C++", 27, 0, 0, 0, 3, 30
"d:\vscode_demo\比赛\校赛\2025新生周赛2\b.cpp", "C++", 38, 0, 0, 53, 7, 98
"d:\vscode_demo\比赛\校赛\2025新生周赛2\c.cpp", "C++", 47, 0, 0, 0, 3, 50
"d:\vscode_demo\比赛\校赛\2025新生周赛2\d.cpp", "C++", 34, 0, 0, 0, 3, 37
"d:\vscode_demo\比赛\校赛\green bird cup\L.cpp", "C++", 58, 0, 0, 1, 3, 62
"d:\vscode_demo\比赛\校赛\green bird cup\ctest.cpp", "C++", 61, 0, 0, 1, 3, 65
"d:\vscode_demo\比赛\校赛\green bird cup\e.cpp", "C++", 95, 0, 0, 2, 3, 100
"d:\vscode_demo\比赛\校赛\green bird cup\g.cpp", "C++", 34, 0, 0, 1, 2, 37
"d:\vscode_demo\比赛\校赛\green bird cup\k.cpp", "C++", 61, 0, 0, 1, 3, 65
"d:\vscode_demo\比赛\校赛\green bird cup\生日礼物.cpp", "C++", 25, 0, 0, 0, 4, 29
"d:\vscode_demo\比赛\校赛\北京信息科技\b.cpp", "C++", 41, 0, 0, 0, 4, 45
"d:\vscode_demo\比赛\校赛\北京信息科技\c.cpp", "C++", 32, 0, 0, 0, 3, 35
"d:\vscode_demo\比赛\校赛\北京信息科技\e.cpp", "C++", 38, 0, 0, 0, 3, 41
"d:\vscode_demo\比赛\校赛\北京信息科技\h.cpp", "C++", 25, 0, 0, 0, 4, 29
"d:\vscode_demo\比赛\校赛\华中农业新生赛14\a.cpp", "C++", 38, 0, 0, 0, 2, 40
"d:\vscode_demo\比赛\校赛\华中农业新生赛14\c.cpp", "C++", 43, 0, 0, 0, 2, 45
"d:\vscode_demo\比赛\校赛\华中农业新生赛14\f.cpp", "C++", 50, 0, 0, 0, 2, 52
"d:\vscode_demo\比赛\校赛\华中农业新生赛14\g.cpp", "C++", 70, 0, 0, 5, 2, 77
"d:\vscode_demo\比赛\校赛\华中农业新生赛14\k.cpp", "C++", 28, 0, 0, 1, 3, 32
"d:\vscode_demo\比赛\校赛\华中农业新生赛14\m.cpp", "C++", 35, 0, 0, 1, 2, 38
"d:\vscode_demo\比赛\校赛\华中热身赛\a.cpp", "C++", 31, 0, 0, 0, 2, 33
"d:\vscode_demo\比赛\校赛\华中热身赛\b.cpp", "C++", 37, 0, 0, 0, 2, 39
"d:\vscode_demo\比赛\校赛\华中热身赛\c.cpp", "C++", 42, 0, 0, 0, 4, 46
"d:\vscode_demo\比赛\校赛\华中热身赛\d.cpp", "C++", 24, 0, 0, 0, 3, 27
"d:\vscode_demo\比赛\校赛\华中热身赛\e.cpp", "C++", 24, 0, 0, 1, 2, 27
"d:\vscode_demo\比赛\校赛\广州赛\J.cpp", "C++", 23, 0, 0, 0, 2, 25
"d:\vscode_demo\比赛\校赛\广州赛\a.cpp", "C++", 39, 0, 0, 0, 2, 41
"d:\vscode_demo\比赛\校赛\广州赛\b.cpp", "C++", 39, 0, 0, 0, 2, 41
"d:\vscode_demo\比赛\校赛\广州赛\c.cpp", "C++", 55, 0, 0, 3, 5, 63
"d:\vscode_demo\比赛\校赛\广州赛\e.cpp", "C++", 52, 0, 0, 0, 5, 57
"d:\vscode_demo\比赛\校赛\广州赛\h.cpp", "C++", 20, 0, 0, 0, 0, 20
"d:\vscode_demo\比赛\校赛\广州赛\l.cpp", "C++", 39, 0, 0, 0, 2, 41
"d:\vscode_demo\比赛\校赛\广州赛\m.cpp", "C++", 37, 0, 0, 0, 0, 37
"d:\vscode_demo\比赛\校赛\核桃杯\a.cpp", "C++", 25, 0, 0, 1, 3, 29
"d:\vscode_demo\比赛\校赛\核桃杯\全概率.cpp", "C++", 39, 0, 0, 1, 3, 43
"d:\vscode_demo\比赛\校赛\核桃杯\轮符雨.cpp", "C++", 42, 0, 0, 0, 3, 45
"d:\vscode_demo\比赛\核桃杯\b.cpp", "C++", 75, 0, 0, 0, 3, 78
"d:\vscode_demo\比赛\核桃杯\f.cpp", "C++", 43, 0, 0, 1, 4, 48
"d:\vscode_demo\比赛\核桃杯\h.cpp", "C++", 23, 0, 0, 1, 4, 28
"d:\vscode_demo\比赛\牛客\周赛\Round 119\d.cpp", "C++", 68, 0, 0, 2, 5, 75
"d:\vscode_demo\比赛\牛客\周赛\Round 119\e.cpp", "C++", 58, 0, 0, 0, 3, 61
"d:\vscode_demo\比赛\牛客\周赛\Round 121\a.cpp", "C++", 31, 0, 0, 1, 4, 36
"d:\vscode_demo\比赛\牛客\周赛\Round 121\b.cpp", "C++", 50, 0, 0, 0, 4, 54
"d:\vscode_demo\比赛\牛客\周赛\Round 121\c.cpp", "C++", 46, 0, 0, 1, 3, 50
"d:\vscode_demo\比赛\牛客\周赛\Round 121\d.cpp", "C++", 46, 0, 0, 1, 4, 51
"d:\vscode_demo\比赛\牛客\周赛\Round 123\a.cpp", "C++", 30, 0, 0, 1, 3, 34
"d:\vscode_demo\比赛\牛客\周赛\Round 123\b.cpp", "C++", 29, 0, 0, 1, 3, 33
"d:\vscode_demo\比赛\牛客\周赛\Round 123\c.cpp", "C++", 48, 0, 0, 1, 3, 52
"d:\vscode_demo\比赛\牛客\周赛\Round 123\d.cpp", "C++", 21, 0, 0, 1, 4, 26
"d:\vscode_demo\比赛\牛客\周赛\Round 123\e.cpp", "C++", 39, 0, 0, 2, 3, 44
"d:\vscode_demo\比赛\牛客\周赛\Round 124\a.cpp", "C++", 30, 0, 0, 1, 4, 35
"d:\vscode_demo\比赛\牛客\周赛\Round 124\b.cpp", "C++", 32, 0, 0, 1, 4, 37
"d:\vscode_demo\比赛\牛客\周赛\Round 124\c.cpp", "C++", 60, 0, 0, 4, 8, 72
"d:\vscode_demo\比赛\牛客\周赛\Round 124\d.cpp", "C++", 38, 0, 0, 1, 4, 43
"d:\vscode_demo\比赛\牛客\周赛\Round 124\e.cpp", "C++", 34, 0, 0, 1, 5, 40
"d:\vscode_demo\比赛\牛客\周赛\Round 125\a.cpp", "C++", 28, 0, 0, 1, 4, 33
"d:\vscode_demo\比赛\牛客\周赛\Round 125\b.cpp", "C++", 32, 0, 0, 0, 6, 38
"d:\vscode_demo\比赛\牛客\周赛\Round 125\c.cpp", "C++", 39, 0, 0, 0, 5, 44
